Altitude_km,Temperatura_K,Pressao_Pa,Densidade_kgm3,VelocidadeSom_ms,Gravidade
691.00,999.97,0.00,0.00,633.92,7.98
692.00,999.97,0.00,0.00,633.92,7.98
693.00,999.97,0.00,0.00,633.92,7.97
694.00,999.97,0.00,0.00,633.92,7.97
695.00,999.97,0.00,0.00,633.92,7.97
696.00,999.97,0.00,0.00,633.92,7.97
697.00,999.97,0.00,0.00,633.92,7.96
698.00,999.97,0.00,0.00,633.92,7.96
699.00,999.97,0.00,0.00,633.92,7.96
700.00,999.97,0.00,0.00,633.92,7.96
701.00,999.97,0.00,0.00,633.92,7.96
702.00,999.97,0.00,0.00,633.92,7.95
703.00,999.97,0.00,0.00,633.92,7.95
704.00,999.97,0.00,0.00,633.92,7.95
705.00,999.97,0.00,0.00,633.92,7.95
706.00,999.97,0.00,0.00,633.92,7.94
707.00,999.97,0.00,0.00,633.92,7.94
708.00,999.97,0.00,0.00,633.92,7.94
709.00,999.97,0.00,0.00,633.92,7.94
710.00,999.97,0.00,0.00,633.92,7.94
711.00,999.98,0.00,0.00,633.92,7.93
712.00,999.98,0.00,0.00,633.92,7.93
713.00,999.98,0.00,0.00,633.92,7.93
714.00,999.98,0.00,0.00,633.92,7.93
715.00,999.98,0.00,0.00,633.92,7.92
716.00,999.98,0.00,0.00,633.92,7.92
717.00,999.98,0.00,0.00,633.92,7.92
718.00,999.98,0.00,0.00,633.93,7.92
719.00,999.98,0.00,0.00,633.93,7.91
720.00,999.98,0.00,0.00,633.93,7.91
721.00,999.98,0.00,0.00,633.93,7.91
722.00,999.98,0.00,0.00,633.93,7.91
723.00,999.98,0.00,0.00,633.93,7.91
724.00,999.98,0.00,0.00,633.93,7.90
725.00,999.98,0.00,0.00,633.93,7.90
726.00,999.98,0.00,0.00,633.93,7.90
727.00,999.98,0.00,0.00,633.93,7.90
728.00,999.98,0.00,0.00,633.93,7.89
729.00,999.98,0.00,0.00,633.93,7.89
730.00,999.98,0.00,0.00,633.93,7.89
731.00,999.98,0.00,0.00,633.93,7.89
732.00,999.98,0.00,0.00,633.93,7.89
733.00,999.98,0.00,0.00,633.93,7.88
734.00,999.98,0.00,0.00,633.93,7.88
735.00,999.98,0.00,0.00,633.93,7.88
736.00,999.98,0.00,0.00,633.93,7.88
737.00,999.98,0.00,0.00,633.93,7.87
738.00,999.98,0.00,0.00,633.93,7.87
739.00,999.98,0.00,0.00,633.93,7.87
740.00,999.98,0.00,0.00,633.93,7.87
741.00,999.98,0.00,0.00,633.93,7.87
742.00,999.98,0.00,0.00,633.93,7.86
743.00,999.98,0.00,0.00,633.93,7.86
744.00,999.99,0.00,0.00,633.93,7.86
745.00,999.99,0.00,0.00,633.93,7.86
746.00,999.99,0.00,0.00,633.93,7.85
747.00,999.99,0.00,0.00,633.93,7.85
748.00,999.99,0.00,0.00,633.93,7.85
749.00,999.99,0.00,0.00,633.93,7.85
750.00,999.99,0.00,0.00,633.93,7.85
751.00,999.99,0.00,0.00,633.93,7.84
752.00,999.99,0.00,0.00,633.93,7.84
753.00,999.99,0.00,0.00,633.93,7.84
754.00,999.99,0.00,0.00,633.93,7.84
755.00,999.99,0.00,0.00,633.93,7.83
756.00,999.99,0.00,0.00,633.93,7.83
757.00,999.99,0.00,0.00,633.93,7.83
758.00,999.99,0.00,0.00,633.93,7.83
759.00,999.99,0.00,0.00,633.93,7.83
760.00,999.99,0.00,0.00,633.93,7.82
761.00,999.99,0.00,0.00,633.93,7.82
762.00,999.99,0.00,0.00,633.93,7.82
763.00,999.99,0.00,0.00,633.93,7.82
764.00,999.99,0.00,0.00,633.93,7.82
765.00,999.99,0.00,0.00,633.93,7.81
766.00,999.99,0.00,0.00,633.93,7.81
767.00,999.99,0.00,0.00,633.93,7.81
768.00,999.99,0.00,0.00,633.93,7.81
769.00,999.99,0.00,0.00,633.93,7.80
770.00,999.99,0.00,0.00,633.93,7.80
771.00,999.99,0.00,0.00,633.93,7.80
772.00,999.99,0.00,0.00,633.93,7.80
773.00,999.99,0.00,0.00,633.93,7.80
774.00,999.99,0.00,0.00,633.93,7.79
775.00,999.99,0.00,0.00,633.93,7.79
776.00,999.99,0.00,0.00,633.93,7.79
777.00,999.99,0.00,0.00,633.93,7.79
778.00,999.99,0.00,0.00,633.93,7.78
779.00,999.99,0.00,0.00,633.93,7.78
780.00,999.99,0.00,0.00,633.93,7.78
781.00,999.99,0.00,0.00,633.93,7.78
782.00,999.99,0.00,0.00,633.93,7.78
783.00,999.99,0.00,0.00,633.93,7.77
784.00,999.99,0.00,0.00,633.93,7.77
785.00,999.99,0.00,0.00,633.93,7.77
786.00,999.99,0.00,0.00,633.93,7.77
787.00,999.99,0.00,0.00,633.93,7.76
788.00,999.99,0.00,0.00,633.93,7.76
789.00,999.99,0.00,0.00,633.93,7.76
790.00,999.99,0.00,0.00,633.93,7.76
791.00,999.99,0.00,0.00,633.93,7.76
792.00,999.99,0.00,0.00,633.93,7.75
793.00,999.99,0.00,0.00,633.93,7.75
794.00,999.99,0.00,0.00,633.93,7.75
795.00,999.99,0.00,0.00,633.93,7.75
796.00,999.99,0.00,0.00,633.93,7.75
797.00,999.99,0.00,0.00,633.93,7.74
798.00,999.99,0.00,0.00,633.93,7.74
799.00,999.99,0.00,0.00,633.93,7.74
800.00,999.99,0.00,0.00,633.93,7.74
801.00,999.99,0.00,0.00,633.93,7.73
802.00,999.99,0.00,0.00,633.93,7.73
803.00,999.99,0.00,0.00,633.93,7.73
804.00,999.99,0.00,0.00,633.93,7.73
805.00,999.99,0.00,0.00,633.93,7.73
806.00,999.99,0.00,0.00,633.93,7.72
807.00,999.99,0.00,0.00,633.93,7.72
808.00,999.99,0.00,0.00,633.93,7.72
809.00,999.99,0.00,0.00,633.93,7.72
810.00,999.99,0.00,0.00,633.93,7.72
811.00,999.99,0.00,0.00,633.93,7.71
812.00,999.99,0.00,0.00,633.93,7.71
813.00,999.99,0.00,0.00,633.93,7.71
814.00,999.99,0.00,0.00,633.93,7.71
815.00,1000.00,0.00,0.00,633.93,7.70
816.00,1000.00,0.00,0.00,633.93,7.70
817.00,1000.00,0.00,0.00,633.93,7.70
818.00,1000.00,0.00,0.00,633.93,7.70
819.00,1000.00,0.00,0.00,633.93,7.70
820.00,1000.00,0.00,0.00,633.93,7.69
821.00,1000.00,0.00,0.00,633.93,7.69
822.00,1000.00,0.00,0.00,633.93,7.69
823.00,1000.00,0.00,0.00,633.93,7.69
824.00,1000.00,0.00,0.00,633.93,7.69
825.00,1000.00,0.00,0.00,633.93,7.68
826.00,1000.00,0.00,0.00,633.93,7.68
827.00,1000.00,0.00,0.00,633.93,7.68
828.00,1000.00,0.00,0.00,633.93,7.68
829.00,1000.00,0.00,0.00,633.93,7.67
830.00,1000.00,0.00,0.00,633.93,7.67
831.00,1000.00,0.00,0.00,633.93,7.67
832.00,1000.00,0.00,0.00,633.93,7.67
833.00,1000.00,0.00,0.00,633.93,7.67
834.00,1000.00,0.00,0.00,633.93,7.66
835.00,1000.00,0.00,0.00,633.93,7.66
836.00,1000.00,0.00,0.00,633.93,7.66
837.00,1000.00,0.00,0.00,633.93,7.66
838.00,1000.00,0.00,0.00,633.93,7.66
839.00,1000.00,0.00,0.00,633.93,7.65
840.00,1000.00,0.00,0.00,633.93,7.65
841.00,1000.00,0.00,0.00,633.93,7.65
842.00,1000.00,0.00,0.00,633.93,7.65
843.00,1000.00,0.00,0.00,633.93,7.64
844.00,1000.00,0.00,0.00,633.93,7.64
845.00,1000.00,0.00,0.00,633.93,7.64
846.00,1000.00,0.00,0.00,633.93,7.64
847.00,1000.00,0.00,0.00,633.93,7.64
848.00,1000.00,0.00,0.00,633.93,7.63
849.00,1000.00,0.00,0.00,633.93,7.63
850.00,1000.00,0.00,0.00,633.93,7.63
851.00,1000.00,0.00,0.00,633.93,7.63
852.00,1000.00,0.00,0.00,633.93,7.63
853.00,1000.00,0.00,0.00,633.93,7.62
854.00,1000.00,0.00,0.00,633.93,7.62
855.00,1000.00,0.00,0.00,633.93,7.62
856.00,1000.00,0.00,0.00,633.93,7.62
857.00,1000.00,0.00,0.00,633.93,7.61
858.00,1000.00,0.00,0.00,633.93,7.61
859.00,1000.00,0.00,0.00,633.93,7.61
860.00,1000.00,0.00,0.00,633.93,7.61
861.00,1000.00,0.00,0.00,633.93,7.61
862.00,1000.00,0.00,0.00,633.93,7.60
863.00,1000.00,0.00,0.00,633.93,7.60
864.00,1000.00,0.00,0.00,633.93,7.60
865.00,1000.00,0.00,0.00,633.93,7.60
866.00,1000.00,0.00,0.00,633.93,7.60
867.00,1000.00,0.00,0.00,633.93,7.59
868.00,1000.00,0.00,0.00,633.93,7.59
869.00,1000.00,0.00,0.00,633.93,7.59
870.00,1000.00,0.00,0.00,633.93,7.59
871.00,1000.00,0.00,0.00,633.93,7.59
872.00,1000.00,0.00,0.00,633.93,7.58
873.00,1000.00,0.00,0.00,633.93,7.58
874.00,1000.00,0.00,0.00,633.93,7.58
875.00,1000.00,0.00,0.00,633.93,7.58
876.00,1000.00,0.00,0.00,633.93,7.58
877.00,1000.00,0.00,0.00,633.93,7.57
878.00,1000.00,0.00,0.00,633.93,7.57
879.00,1000.00,0.00,0.00,633.93,7.57
880.00,1000.00,0.00,0.00,633.93,7.57
881.00,1000.00,0.00,0.00,633.93,7.56
882.00,1000.00,0.00,0.00,633.93,7.56
883.00,1000.00,0.00,0.00,633.93,7.56
884.00,1000.00,0.00,0.00,633.93,7.56
885.00,1000.00,0.00,0.00,633.93,7.56
886.00,1000.00,0.00,0.00,633.93,7.55
887.00,1000.00,0.00,0.00,633.93,7.55
888.00,1000.00,0.00,0.00,633.93,7.55
889.00,1000.00,0.00,0.00,633.93,7.55
890.00,1000.00,0.00,0.00,633.93,7.55
891.00,1000.00,0.00,0.00,633.93,7.54
892.00,1000.00,0.00,0.00,633.93,7.54
893.00,1000.00,0.00,0.00,633.93,7.54
894.00,1000.00,0.00,0.00,633.93,7.54
895.00,1000.00,0.00,0.00,633.93,7.54
896.00,1000.00,0.00,0.00,633.93,7.53
897.00,1000.00,0.00,0.00,633.93,7.53
898.00,1000.00,0.00,0.00,633.93,7.53
899.00,1000.00,0.00,0.00,633.93,7.53
900.00,1000.00,0.00,0.00,633.93,7.53
901.00,1000.00,0.00,0.00,633.93,7.52
902.00,1000.00,0.00,0.00,633.93,7.52
903.00,1000.00,0.00,0.00,633.93,7.52
904.00,1000.00,0.00,0.00,633.93,7.52
905.00,1000.00,0.00,0.00,633.93,7.51
906.00,1000.00,0.00,0.00,633.93,7.51
907.00,1000.00,0.00,0.00,633.93,7.51
908.00,1000.00,0.00,0.00,633.93,7.51
909.00,1000.00,0.00,0.00,633.93,7.51
910.00,1000.00,0.00,0.00,633.93,7.50
911.00,1000.00,0.00,0.00,633.93,7.50
912.00,1000.00,0.00,0.00,633.93,7.50
913.00,1000.00,0.00,0.00,633.93,7.50
914.00,1000.00,0.00,0.00,633.93,7.50
915.00,1000.00,0.00,0.00,633.93,7.49
916.00,1000.00,0.00,0.00,633.93,7.49
917.00,1000.00,0.00,0.00,633.93,7.49
918.00,1000.00,0.00,0.00,633.93,7.49
919.00,1000.00,0.00,0.00,633.93,7.49
920.00,1000.00,0.00,0.00,633.93,7.48
921.00,1000.00,0.00,0.00,633.93,7.48
922.00,1000.00,0.00,0.00,633.93,7.48
923.00,1000.00,0.00,0.00,633.93,7.48
924.00,1000.00,0.00,0.00,633.93,7.48
925.00,1000.00,0.00,0.00,633.93,7.47
926.00,1000.00,0.00,0.00,633.93,7.47
927.00,1000.00,0.00,0.00,633.93,7.47
928.00,1000.00,0.00,0.00,633.93,7.47
929.00,1000.00,0.00,0.00,633.93,7.47
930.00,1000.00,0.00,0.00,633.93,7.46
931.00,1000.00,0.00,0.00,633.93,7.46
932.00,1000.00,0.00,0.00,633.93,7.46
933.00,1000.00,0.00,0.00,633.93,7.46
934.00,1000.00,0.00,0.00,633.93,7.45
935.00,1000.00,0.00,0.00,633.93,7.45
936.00,1000.00,0.00,0.00,633.93,7.45
937.00,1000.00,0.00,0.00,633.93,7.45
938.00,1000.00,0.00,0.00,633.93,7.45
939.00,1000.00,0.00,0.00,633.93,7.44
940.00,1000.00,0.00,0.00,633.93,7.44
941.00,1000.00,0.00,0.00,633.93,7.44
942.00,1000.00,0.00,0.00,633.93,7.44
943.00,1000.00,0.00,0.00,633.93,7.44
944.00,1000.00,0.00,0.00,633.93,7.43
945.00,1000.00,0.00,0.00,633.93,7.43
946.00,1000.00,0.00,0.00,633.93,7.43
947.00,1000.00,0.00,0.00,633.93,7.43
948.00,1000.00,0.00,0.00,633.93,7.43
949.00,1000.00,0.00,0.00,633.93,7.42
950.00,1000.00,0.00,0.00,633.93,7.42
951.00,1000.00,0.00,0.00,633.93,7.42
952.00,1000.00,0.00,0.00,633.93,7.42
953.00,1000.00,0.00,0.00,633.93,7.42
954.00,1000.00,0.00,0.00,633.93,7.41
955.00,1000.00,0.00,0.00,633.93,7.41
956.00,1000.00,0.00,0.00,633.93,7.41
957.00,1000.00,0.00,0.00,633.93,7.41
958.00,1000.00,0.00,0.00,633.93,7.41
959.00,1000.00,0.00,0.00,633.93,7.40
960.00,1000.00,0.00,0.00,633.93,7.40
961.00,1000.00,0.00,0.00,633.93,7.40
962.00,1000.00,0.00,0.00,633.93,7.40
963.00,1000.00,0.00,0.00,633.93,7.40
964.00,1000.00,0.00,0.00,633.93,7.39
965.00,1000.00,0.00,0.00,633.93,7.39
966.00,1000.00,0.00,0.00,633.93,7.39
967.00,1000.00,0.00,0.00,633.93,7.39
968.00,1000.00,0.00,0.00,633.93,7.39
969.00,1000.00,0.00,0.00,633.93,7.38
970.00,1000.00,0.00,0.00,633.93,7.38
971.00,1000.00,0.00,0.00,633.93,7.38
972.00,1000.00,0.00,0.00,633.93,7.38
973.00,1000.00,0.00,0.00,633.93,7.38
974.00,1000.00,0.00,0.00,633.93,7.37
975.00,1000.00,0.00,0.00,633.93,7.37
976.00,1000.00,0.00,0.00,633.93,7.37
977.00,1000.00,0.00,0.00,633.93,7.37
978.00,1000.00,0.00,0.00,633.93,7.37
979.00,1000.00,0.00,0.00,633.93,7.36
980.00,1000.00,0.00,0.00,633.93,7.36
981.00,1000.00,0.00,0.00,633.93,7.36
982.00,1000.00,0.00,0.00,633.93,7.36
983.00,1000.00,0.00,0.00,633.93,7.36
984.00,1000.00,0.00,0.00,633.93,7.35
985.00,1000.00,0.00,0.00,633.93,7.35
986.00,1000.00,0.00,0.00,633.93,7.35
987.00,1000.00,0.00,0.00,633.93,7.35
988.00,1000.00,0.00,0.00,633.93,7.35
989.00,1000.00,0.00,0.00,633.93,7.34
990.00,1000.00,0.00,0.00,633.93,7.34
991.00,1000.00,0.00,0.00,633.93,7.34
992.00,1000.00,0.00,0.00,633.93,7.34
993.00,1000.00,0.00,0.00,633.93,7.34
994.00,1000.00,0.00,0.00,633.93,7.33
995.00,1000.00,0.00,0.00,633.93,7.33
996.00,1000.00,0.00,0.00,633.93,7.33
997.00,1000.00,0.00,0.00,633.93,7.33
998.00,1000.00,0.00,0.00,633.93,7.33
999.00,1000.00,0.00,0.00,633.93,7.32
1000.00,1000.00,0.00,0.00,633.93,7.32
