MACH,ALPHA_DEG,BETA_DEG,DELTA_ELEVON_L,DELTA_ELEVON_R,DELTA_RUDDER,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
2.0,16.0,-4.0,0.0,0.0,0,0.0668101351222591,0.5165246582536622,0.0,0.0,-0.0227,0.0,0,0
2.0,-6.0,-2.0,0.0,0.0,0,0.0221424056058011,-0.047474582360542,0.0222,-0.0034,0.0022,-0.0109,0,0
2.0,-4.0,-2.0,0.0,0.0,0,0.0239900382104124,-0.0107997681629958,0.0194,-0.0015,0.0006,-0.0096,0,0
2.0,-2.0,-2.0,0.0,0.0,0,0.0266821137881355,0.0309876845179843,0.0177,-0.001,-0.0017,-0.0089,0,0
2.0,0.0,-2.0,0.0,0.0,0,0.0298817857278709,0.0772,0.0168,-0.0004,-0.0044,-0.0086,0,0
2.0,2.0,-2.0,0.0,0.0,0,0.033363603864736,0.1270417633927662,0.0162,0.0006,-0.0073,-0.0084,0,0
2.0,4.0,-2.0,0.0,0.0,0,0.0368239796962617,0.1797064668941752,0.0158,0.0015,-0.0103,-0.0083,0,0
2.0,6.0,-2.0,0.0,0.0,0,0.0404687425673525,0.2345148322597504,0.0154,0.0023,-0.0133,-0.0083,0,0
2.0,8.0,-2.0,0.0,0.0,0,0.0443226486212058,0.2906975692119398,0.015,0.003,-0.0161,-0.0085,0,0
2.0,10.0,-2.0,0.0,0.0,0,0.0485101611956298,0.3476045959659565,0.0147,0.0039,-0.0187,-0.009,0,0
2.0,12.0,-2.0,0.0,0.0,0,0.0535145585110732,0.4043625952225202,0.0147,0.0049,-0.0211,-0.0101,0,0
2.0,14.0,-2.0,0.0,0.0,0,0.0596367475812726,0.4606095058643325,0.0,0.0,-0.0232,0.0,0,0
2.0,16.0,-2.0,0.0,0.0,0,0.0674494422579523,0.5156676771890434,0.0,0.0,-0.0251,0.0,0,0
2.0,-6.0,0.0,0.0,0.0,0,0.0220697638310156,-0.0473663965743985,0.0,0.0,0.002,0.0,0,0
2.0,-4.0,0.0,0.0,0.0,0,0.0239052917253201,-0.0107938421114698,0.0,0.0,0.0005,0.0,0,0
2.0,-2.0,0.0,0.0,0.0,0,0.0266976991164986,0.0309871402663251,0.0,0.0,-0.0017,0.0,0,0
2.0,2.0,0.0,0.0,0.0,0,0.0332901674431155,0.1269391379819846,0.0,0.0,-0.0072,0.0,0,0
2.0,4.0,0.0,0.0,0.0,0,0.0367611580095708,0.1796018297840959,0.0,0.0,-0.0102,0.0,0,0
2.0,6.0,0.0,0.0,0.0,0,0.0404294542346881,0.2343096012336781,0.0,0.0,-0.0132,0.0,0,0
2.0,8.0,0.0,0.0,0.0,0,0.0443023702746559,0.2904927537616856,0.0,0.0,-0.0161,0.0,0,0
2.0,10.0,0.0,0.0,0.0,0,0.0485286860309317,0.3473032344106677,0.0,0.0,-0.0188,0.0,0,0
