,ALPHA_DEG,BETA_DEG,MACH,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
994,9,4,4.5,0.0825737,0.415644,-0.067296,0.00570084,-0.0864041,0.101862,-2.28197,0.295055
995,9,5,4.5,0.0828726,0.414939,-0.0846773,0.00713824,-0.0862717,0.128275,-2.28827,0.295427
996,10,-6,4.5,0.0878582,0.454352,0.102747,-0.00875758,-0.0953394,-0.155985,-2.28578,0.297682
997,10,-5,4.5,0.0874487,0.455279,0.0849583,-0.00729257,-0.0955004,-0.128955,-2.27845,0.297268
998,10,-4,4.5,0.0871884,0.456033,0.0675629,-0.00583609,-0.0956472,-0.102537,-2.27233,0.296917
999,10,-3,4.5,0.0870971,0.456622,0.0504385,-0.00438505,-0.0957562,-0.0765597,-2.26749,0.296641
1000,10,-2,4.5,0.0871859,0.457012,0.0335474,-0.00292854,-0.0958181,-0.0509981,-2.26397,0.296439
1001,10,-1,4.5,0.0869499,0.457284,0.0167729,-0.00148854,-0.0958793,-0.0255463,-2.26184,0.296318
1002,10,0,4.5,0.0864042,0.457386,8.0659e-05,-3.71473e-05,-0.0958572,-0.000251295,-2.26112,0.296279
1003,10,1,4.5,0.0869722,0.457292,-0.0166074,0.00141783,-0.0958768,0.025064,-2.26182,0.29632
1004,10,2,4.5,0.0870528,0.457041,-0.0333773,0.00286501,-0.0958348,0.0504662,-2.26393,0.296445
1005,10,3,4.5,0.0871261,0.456627,-0.0502881,0.00431039,-0.0957586,0.0760889,-2.26743,0.29665
1006,10,4,4.5,0.0872959,0.456044,-0.0674207,0.00575611,-0.0956497,0.102041,-2.27225,0.296928
1007,10,5,4.5,0.0874904,0.455297,-0.0848168,0.0072117,-0.0955044,0.128468,-2.27837,0.297284
1008,-10,-6,5.0,0.0315237,-0.214464,0.103648,-0.0113014,0.0619339,-0.151644,-2.45483,0.19616
1009,-10,-5,5.0,0.0312258,-0.213709,0.0856468,-0.00942633,0.0617204,-0.125183,-2.44756,0.19428
1010,-10,-4,5.0,0.0309427,-0.213079,0.068039,-0.00754897,0.0615486,-0.0993851,-2.44142,0.192694
1011,-10,-3,5.0,0.0308237,-0.212598,0.0507996,-0.00566583,0.0614144,-0.0741626,-2.43658,0.191421
1012,-10,-2,5.0,0.0306818,-0.212242,0.0337795,-0.0037965,0.0613008,-0.0492469,-2.43301,0.1905
1013,-10,-1,5.0,0.0305411,-0.212014,0.0169263,-0.00191424,0.0612442,-0.0246939,-2.43082,0.18994
1014,-10,0,5.0,0.030293,-0.21196,0.000161309,-3.50565e-05,0.0612355,-0.000143726,-2.43007,0.189751
1015,-10,1,5.0,0.0304701,-0.212,-0.016605,0.00184037,0.0612416,0.0242955,-2.43079,0.18994
1016,-10,2,5.0,0.0305932,-0.212213,-0.0334525,0.00371616,0.0612965,0.0488828,-2.43295,0.190501
1017,-10,3,5.0,0.0309095,-0.212566,-0.0504807,0.00559285,0.0614072,0.0737109,-2.4365,0.191422
1018,-10,4,5.0,0.0310832,-0.213042,-0.067728,0.00747414,0.0615378,0.0989316,-2.44134,0.192696
1019,-10,5,5.0,0.0311442,-0.213644,-0.0853111,0.00935494,0.0617009,0.124761,-2.44747,0.194282
1020,-9,-6,5.0,0.0323111,-0.182283,0.102407,-0.0108629,0.0537318,-0.150393,-2.45645,0.202527
1021,-9,-5,5.0,0.0320419,-0.181524,0.0846114,-0.00905586,0.0535251,-0.124151,-2.44891,0.200677
1022,-9,-4,5.0,0.0314097,-0.180866,0.0671882,-0.00725476,0.0533646,-0.098536,-2.44256,0.199117
1023,-9,-3,5.0,0.0313202,-0.180384,0.050158,-0.0054466,0.0532341,-0.0735102,-2.43754,0.197862
