MACH,CYP,CYR,CNQ,CNAD,CLLP,CMQ,CMAD,CLNR,CLLR,CLNP,CNDEL,CNDER,CMDEL,CMDER,CLLDEL,CLLDER,CHDE,CYDR,CLNDR,CLLDR,CHDR
1.2,1.1527764863999999,2.3494920064,1.129710481152,0.4900051387733334,-0.4569694976000001,-12.933321238852429,-40.83155120325852,-132.027817152,0.014659814400000004,1.1226388096000008,0.11505937715422049,0.11505937715422049,-0.07287522958030182,-0.07287522958030182,0.05779859348269808,-0.05779859348269808,0.2977425593748467,0.10663897129482382,-0.12021041315318337,0.057249379819258865,-0.0008662241574990205
1.25,1.1483491712000002,2.3282355712,1.1201663353173335,0.48311506542933336,-0.4555620608000001,-9.885011363261928,-26.22900387650406,-108.40164276480002,0.014659814400000004,1.1356162048000007,0.11165512207569371,0.11165512207569371,-0.07076600499435493,-0.07076600499435493,0.056294542603619505,-0.056294542603619505,0.28048415358507045,0.1008659497627203,-0.11375543748238408,0.05492562025396576,-0.0008338367230334611
1.3,1.1439218560000002,2.3088015104,1.1105270208853333,0.475624697856,-0.45466220800000007,-7.865688378879188,-18.212517213200417,-89.28581446400001,0.014659814400000004,1.1462202751999997,0.10827494878172143,0.10827494878172143,-0.06867153593168805,-0.06867153593168805,0.05480042228393823,-0.05480042228393823,0.2633812427023212,0.09611714091245227,-0.10840466547379987,0.05291672443548699,-0.0007959210923503781
1.35,1.1394600448000005,2.2896848128000005,1.100766582784,0.46785348309333336,-0.4542827520000001,-6.445746883774741,-13.355367156024403,-74.65681090560001,0.014659814400000004,1.1550768768000008,0.104924370522797,0.104924370522797,-0.0665951914847356,-0.0665951914847356,0.053318479559512286,-0.053318479559512286,0.246472686889287,0.09207568963771023,-0.10381949850762963,0.05114318201416666,-0.000755013280213617
1.4,1.1349400832000003,2.2704803968000005,1.0908950037333334,0.45994317576533333,-0.4542177024,-5.402491701012155,-10.196661031237568,-63.35375791360001,0.014659814400000004,1.1625822208000007,0.10160890054941386,0.10160890054941386,-0.06454034074593194,-0.06454034074593194,0.05185096146619965,-0.05185096146619965,0.2297973463086559,0.08855247332243195,-0.09979695943401808,0.04955248045731249,-0.0007123859601458487
1.45,1.1303540864000003,2.2510719616000006,1.0809349112320001,0.45196897902933336,-0.45431429120000005,-4.609807688437517,-8.03016851284155,-54.46847141120001,0.014659814400000004,1.169005376,0.09833405211206536,0.09833405211206536,-0.06251035280771147,-0.06251035280771147,0.05040011503985838,-0.05040011503985838,0.21339408112311573,0.0854255908980204,-0.09620575657149562,0.04810815975004353,-0.0006687328048289224
1.5,1.1256912128000003,2.2314417664000006,1.0709095982933334,0.4439728203093334,-0.4544710016,-3.9913027968375467,-6.481246173865285,-47.362331878400006,0.014659814400000004,1.1745316352000004,0.09510533846124496,0.09510533846124496,-0.060508596762508575,-0.060508596762508575,0.048968187316346466,-0.048968187316346466,0.1973017514953545,0.0826118840189781,-0.09295606238362648,0.04678387123065705,-0.0006244546672677362
1.55,1.1209534336000002,2.2116144512000004,1.060839695872,0.435983316736,-0.45462869760000013,-3.498196284926375,-5.336403056062334,-41.589582988800004,0.014659814400000004,1.1793009535999999,0.09192827284744604,0.09192827284744604,-0.05853844170275765,-0.05853844170275765,0.04755742533152194,-0.04755742533152194,0.1815592175880603,0.08167186593002178,-0.09196276305294854,0.046302035413135274,-0.0006350653119350289
1.6,1.1161368064,2.1916274688,1.0507451694080001,0.428017106176,-0.4547509120000001,-3.0979866823029845,-4.46685199870976,-36.834837670400006,0.014659814400000004,1.1834128768,0.08880836852116197,0.08880836852116197,-0.05660325672089306,-0.05660325672089306,0.046170076121242826,-0.046170076121242826,0.16620533956392086,0.08099319695154802,-0.09127393882563244,0.045941378176780914,-0.0006505118473002364
1.65,1.1112472448000004,2.1715241856,1.0406419912533333,0.4200894954666667,-0.4548130048000001,-2.7682503336401676,-3.7912159707600863,-32.870776153600005,0.014659814400000004,1.1869462527999997,0.08575113873288619,0.08575113873288619,-0.05470641090934921,-0.05470641090934921,0.044808386721367124,-0.044808386721367124,0.1512789775856244,0.08034187198209781,-0.09061139325064754,0.04559542472909705,-0.0006649305393380439
