MACH,ALPHA_DEG,BETA_DEG,DELTA_ELEVON_L,DELTA_ELEVON_R,DELTA_RUDDER,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
3.0,-10,-6,0.0,0.0,0.0,0.0432392,-0.327654,0.16208,0.0155434,0.0974145,-0.240969,-2.46938,0.212852
3.0,-10,-5,0.0,0.0,0.0,0.0431098,-0.327208,0.134636,0.0129542,0.0972907,-0.200131,-2.46608,0.212058
3.0,-10,-4,0.0,0.0,0.0,0.0428422,-0.326846,0.107448,0.0103761,0.0971957,-0.15969,-2.46337,0.211389
3.0,-10,-3,0.0,0.0,0.0,0.0427545,-0.326555,0.0804578,0.00778909,0.0971107,-0.119561,-2.46121,0.210871
3.0,-10,-2,0.0,0.0,0.0,0.0426872,-0.326347,0.0536216,0.00521079,0.0970361,-0.0796256,-2.45965,0.210498
3.0,-10,-1,0.0,0.0,0.0,0.0425476,-0.326185,0.0269061,0.00262401,0.0969927,-0.0399556,-2.45871,0.21028
3.0,-10,0,0.0,0.0,0.0,0.0423295,-0.326161,0.000226192,3.7746e-05,0.0969883,-0.00023248,-2.4584,0.210205
3.0,-10,1,0.0,0.0,0.0,0.0424806,-0.326166,-0.0264567,-0.00254616,0.0969854,0.0393905,-2.45871,0.210282
3.0,-10,2,0.0,0.0,0.0,0.0426477,-0.326295,-0.0531793,-0.00512679,0.0970271,0.0791356,-2.45962,0.210506
3.0,-10,3,0.0,0.0,0.0,0.0427893,-0.32648,-0.0800219,-0.00771606,0.0970856,0.118953,-2.46117,0.21088
3.0,-10,4,0.0,0.0,0.0,0.0428812,-0.326753,-0.107015,-0.0103015,0.0971674,0.159073,-2.46332,0.211399
3.0,-10,5,0.0,0.0,0.0,0.0429145,-0.327106,-0.134196,-0.0128873,0.0972679,0.199584,-2.46606,0.212059
3.0,-9,-6,0.0,0.0,0.0,0.0449766,-0.280936,0.160971,0.0151538,0.085554,-0.239842,-2.46929,0.217445
